"Gene","Module"
"1554014_at","turquoise"
"1559862_at","grey"
"226709_at","grey"
"223434_at","grey"
"1560033_at","grey"
"224026_at","grey"
"228442_at","blue"
"1562310_at","grey"
"239903_at","grey"
"233772_at","grey"
"239488_at","turquoise"
"219334_s_at","grey"
"232024_at","grey"
"206785_s_at","grey"
"239006_at","grey"
"213201_s_at","grey"
"1568852_x_at","grey"
"1562332_at","grey"
"230217_at","turquoise"
"210732_s_at","turquoise"
"1567862_at","grey"
"240906_at","grey"
"201903_at","turquoise"
"238013_at","grey"
"231695_at","blue"
"1559265_at","turquoise"
"223650_s_at","turquoise"
"206987_x_at","brown"
"204489_s_at","grey"
"1567386_at","grey"
"227764_at","turquoise"
"237897_at","turquoise"
"227239_at","grey"
"203639_s_at","grey"
"243335_at","grey"
"237633_at","grey"
"244288_s_at","grey"
"212909_at","grey"
"230986_at","turquoise"
"227921_at","grey"
"244265_at","grey"
"244774_at","grey"
"229128_s_at","turquoise"
"230607_at","blue"
"212203_x_at","blue"
"228055_at","grey"
"1559992_a_at","grey"
"1553494_at","grey"
"208813_at","turquoise"
"209228_x_at","turquoise"
"213126_at","turquoise"
"230469_at","turquoise"
"215034_s_at","blue"
"203163_at","turquoise"
"215828_at","blue"
"215282_at","grey"
"232656_at","grey"
"1569664_at","grey"
"214710_s_at","turquoise"
"225402_at","turquoise"
"223686_at","turquoise"
"205083_at","grey"
"206543_at","grey"
"237649_at","grey"
"1554706_at","turquoise"
"233406_at","grey"
"210701_at","blue"
"236948_x_at","turquoise"
"1569180_at","blue"
"214045_at","turquoise"
"219208_at","turquoise"
"1566288_at","grey"
"205390_s_at","grey"
