"Gene","Module"
"DCXR","blue"
"TBC1D3G","grey"
"CHI3L2","brown"
"EEF1D","brown"
"RGS2","turquoise"
"CBL","turquoise"
"DPEP3","blue"
"CARD6","turquoise"
"DNPH1","brown"
"UBTD1","blue"
"RAB13","greenyellow"
"SLC6A6","turquoise"
"LGALSL","turquoise"
"STXBP5","turquoise"
"GLDC","tan"
"LSMEM1","turquoise"
"GOLGA8B","red"
"LPCAT2","turquoise"
"NT5DC2","blue"
"CUTA","brown"
"ABCG1","turquoise"
"UBALD1","blue"
"PJA2","turquoise"
"VNN3","turquoise"
"NDUFA3","blue"
"MYDGF","brown"
"ITM2A","red"
"FAM118A","grey"
"TLR1","turquoise"
"GTPBP6","blue"
"SDCBP","turquoise"
"CD55","yellow"
"SDHAF3","yellow"
"PSME2","salmon"
"RPL35","brown"
"TNNC2","blue"
"H2BC18","turquoise"
"MSR1","grey"
"IGF1R","turquoise"
"MPP7","turquoise"
"CST3","brown"
"MRPL38","brown"
"FBXL13","turquoise"
"NUDT16","yellow"
"GSDMD","blue"
"C12orf75","tan"
"MS4A7","salmon"
"SBF2","turquoise"
"BACH1","turquoise"
"IFI27L2","blue"
"LHX4","yellow"
"IL10","yellow"
"HYAL3","blue"
"ZG16B","blue"
"CSRNP1","turquoise"
"PLD4","brown"
"TNFSF12-TNFSF13","grey"
"SMIM24","greenyellow"
"REPS2","yellow"
"SAMHD1","red"
"TNFSF13B","black"
"KCNN4","brown"
"CD40LG","red"
"KIF1B","turquoise"
"KLRC4-KLRK1","red"
"NME4","blue"
"GOLGA8A","red"
"HCFC1R1","blue"
"RNF175","yellow"
"XKR3","turquoise"
"CCDC107","brown"
"HSD17B8","brown"
"EPAS1","turquoise"
"MAN1A1","turquoise"
"MAN2A2","turquoise"
"HIPK3","turquoise"
"KCNJ15","turquoise"
"FCGR2C","grey"
"PGGHG","blue"
"GPR27","turquoise"
"RUFY4","black"
"CBR3","brown"
"MTRNR2L3","blue"
"LMNA","blue"
"ROCK1","turquoise"
"FAAP20","blue"
"FCGR3A","turquoise"
"AHNAK","red"
"RNF213","black"
"ARRDC4","turquoise"
"TSPO2","cyan"
"CDK2AP2","blue"
"PCLAF","magenta"
"PPM1N","green"
"UBE2T","magenta"
"TRABD","blue"
"OCIAD2","brown"
"TMEM88","green"
"PYGL","yellow"
